total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
830,2,2,43,0,1,0,0,5180.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
630,2,2,40,1,0,0,0,6349.21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
900,3,2,85,0,1,0,0,9444.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
914,3,2,85,1,0,0,0,9299.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
720,2,2,43.7,1,0,0,0,6069.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
927,3,3,70,1,0,0,0,7551.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
495,1,1,24,0,1,0,0,4848.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,23,0,1,0,0,5111.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,2,2,64,0,0,0,1,9142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
675,2,2,35,0,1,0,0,5185.19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
800,2,2,38,1,0,0,0,4750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600,2,2,40,0,1,0,0,6666.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,2,2,36,0,1,0,0,5142.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,19,1,0,0,0,4222.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,2,2,35,1,0,0,0,5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
950,2,2,50,0,0,0,1,5263.16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
765,2,2,45,1,0,0,0,5882.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450,1,1,21.5,0,1,0,0,4777.78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
325,1,1,18.5,0,1,0,0,5692.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
950,2,2,37,0,0,0,1,3894.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
950,2,2,37,1,0,0,0,3894.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
650,2,2,35,0,1,0,0,5384.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
990,2,2,45,1,0,0,0,4545.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
450,1,2,16.5,0,1,0,0,3666.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
900,2,2,35,0,1,0,0,3888.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
650,2,1,25,0,0,0,1,3846.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
900,2,2,32,0,0,0,1,3555.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
800,2,2,35,0,1,0,0,4375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
947,3,2,48,0,1,0,0,5068.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
900,3,2,38.5,0,1,0,0,4277.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
